,word,freq
1,the,10113
2,and,5334
3,of,4265
4,i,2933
5,to,2244
6,in,1875
7,d,1579
8,you,1537
9,a,1293
10,with,1250
11,is,1109
12,all,1074
13,my,1014
14,me,1009
15,or,1003
16,for,993
17,not,877
18,that,854
19,as,816
20,it,794
21,from,703
22,on,671
23,o,629
24,are,612
25,s,598
26,be,501
27,by,490
28,they,480
29,what,480
30,at,473
31,them,444
32,but,434
33,see,432
34,his,375
35,your,365
36,have,361
37,their,359
38,one,355
39,we,333
40,these,313
41,he,303
42,now,299
43,this,297
44,out,284
45,no,284
46,old,278
47,love,275
48,will,273
49,there,273
50,nor,271
51,life,267
52,through,265
53,day,265
54,shall,263
55,yet,262
56,thee,261
57,so,254
58,more,253
59,long,253
60,soul,249
61,do,247
62,earth,246
63,man,243
64,am,240
65,its,237
66,here,237
67,how,230
68,thy,226
69,night,226
70,where,221
71,than,220
72,who,219
73,any,210
74,thou,209
75,men,199
76,over,195
77,him,194
78,was,192
79,sea,192
80,up,190
81,death,190
82,myself,189
83,those,186
84,her,186
85,every,181
86,know,176
87,time,172
88,some,172
89,come,171
90,well,167
91,ever,167
92,only,163
93,great,163
94,again,159
95,has,156
96,upon,156
97,world,152
98,then,146
99,many,145
100,each,141
101,good,141
102,hear,137
103,an,137
104,own,135
105,like,135
106,hand,133
107,never,133
108,if,133
109,face,132
110,after,132
111,give,125
112,when,125
113,body,125
114,far,123
115,pass,122
116,last,121
117,down,120
118,she,119
119,look,118
120,land,118
121,young,118
122,go,114
123,rest,111
124,us,109
125,air,108
126,dead,108
127,new,108
128,sing,108
129,sun,107
130,eyes,107
131,song,106
132,nothing,105
133,women,104
134,same,104
135,our,104
136,too,104
137,war,104
138,think,103
139,other,103
140,years,102
141,were,100
142,mother,100
143,while,99
144,may,99
145,before,98
146,city,95
147,woman,95
148,lands,95
149,little,94
150,others,93
151,would,93
152,can,92
153,back,91
154,words,91
155,states,91
156,forth,91
157,light,90
158,voice,90
159,saw,89
160,strong,89
161,white,89
162,full,89
163,past,88
164,alone,88
165,which,87
166,songs,86
167,away,84
168,much,84
169,under,84
170,let,84
171,toward,83
172,around,83
173,make,82
174,thought,82
175,side,81
176,ship,79
177,joy,78
178,high,78
179,just,78
180,itself,78
181,america,78
182,head,77
183,work,77
184,close,77
185,sweet,77
186,beautiful,76
187,house,75
188,till,75
189,god,75
190,stars,75
191,perfect,75
192,take,74
193,poems,73
194,heart,72
195,stand,72
196,two,72
197,place,72
198,always,72
199,things,72
200,still,70
201,days,69
202,without,69
203,waves,69
204,call,68
205,children,68
206,divine,68
207,such,68
208,blood,67
209,walk,67
210,off,67
211,silent,67
212,must,67
213,fields,67
214,mine,67
215,cities,66
216,also,66
217,part,65
218,ships,65
219,word,65
220,hands,64
221,does,63
222,themselves,63
223,fill,63
224,something,63
225,sky,63
226,say,63
227,book,62
228,first,61
229,leaves,61
230,best,60
231,red,60
232,open,60
233,singing,60
234,nature,60
235,north,60
236,been,60
237,child,59
238,peace,59
239,south,59
240,woods,59
241,return,59
242,cannot,58
243,west,58
244,along,58
245,present,58
246,shore,57
247,even,57
248,none,57
249,heard,57
250,dear,57
251,water,56
252,most,56
253,space,56
254,behold,56
255,trees,56
256,thing,55
257,vast,55
258,pioneers,54
259,round,54
260,within,54
261,free,54
262,grass,54
263,sleep,53
264,tell,53
265,comes,53
266,way,53
267,race,53
268,amid,52
269,could,52
270,sound,52
271,clear,52
272,near,52
273,faces,52
274,turn,52
275,another,52
276,real,52
277,sail,52
278,chant,52
279,yourself,51
280,ground,51
281,arm,51
282,dark,51
283,done,51
284,enough,51
285,lo,51
286,form,51
287,waters,50
288,once,50
289,large,50
290,rise,49
291,joys,49
292,living,49
293,whole,49
294,had,48
295,arms,48
296,wild,48
297,else,48
298,breast,48
299,true,48
300,future,48
301,age,48
302,touch,47
303,streets,47
304,together,47
305,beyond,47
306,name,47
307,forever,46
308,why,46
309,spirit,46
310,moon,45
311,dream,45
312,bird,45
313,home,45
314,passing,45
315,feet,45
316,year,44
317,black,44
318,half,44
319,show,44
320,among,44
321,welcome,44
322,father,44
323,soon,43
324,friend,43
325,people,43
326,himself,43
327,should,43
328,lips,42
329,whoever,42
330,leave,42
331,hour,42
332,thousand,42
333,soldiers,42
334,battle,41
335,low,41
336,green,41
337,shores,41
338,moment,41
339,river,41
340,behind,41
341,march,41
342,really,41
343,beauty,41
344,son,40
345,curious,40
346,gone,40
347,music,40
348,clouds,39
349,fall,39
350,houses,39
351,hold,39
352,very,39
353,power,39
354,winds,39
355,sight,38
356,wind,38
357,heroes,37
358,lost,37
359,calm,37
360,breath,37
361,whatever,37
362,into,37
363,fire,37
364,less,37
365,shape,37
366,born,37
367,ages,37
368,er,37
369,immortal,37
370,indeed,36
371,hair,36
372,western,36
373,neck,36
374,bring,36
375,persons,36
376,law,36
377,rising,36
378,mighty,36
379,mountains,36
380,left,36
381,ocean,36
382,above,36
383,sit,35
384,become,35
385,loved,35
386,globe,35
387,stands,35
388,unknown,35
389,strange,35
390,voices,34
391,appear,34
392,broad,34
393,gray,34
394,summer,34
395,against,34
396,lovers,34
397,thoughts,34
398,faith,34
399,blue,34
400,shapes,33
401,boy,33
402,crowd,33
403,about,33
404,heaven,33
405,youth,33
406,wait,33
407,east,33
408,few,33
409,rivers,33
410,feel,33
411,modern,33
412,person,33
413,yellow,32
414,ah,32
415,room,32
416,sounds,32
417,universe,32
418,follow,32
419,deep,32
420,ye,32
421,henceforth,32
422,times,32
423,waiting,32
424,seas,31
425,beat,31
426,cross,31
427,looking,31
428,holding,31
429,did,31
430,goes,31
431,poet,31
432,believe,31
433,nations,31
434,fresh,31
435,spring,31
436,morning,31
437,freedom,31
438,countless,31
439,small,31
440,put,31
441,spread,31
442,blow,30
443,distant,30
444,falling,30
445,tears,30
446,live,30
447,road,30
448,find,30
449,came,30
450,darkness,30
451,right,30
452,made,30
453,swift,30
454,forms,30
455,human,30
456,unseen,30
457,certain,30
458,hence,30
459,wars,29
460,content,29
461,limbs,29
462,winter,29
463,comrade,29
464,comrades,29
465,speak,29
466,wife,29
467,animals,29
468,gather,29
469,known,29
470,play,29
471,endless,29
472,laws,29
473,keep,29
474,manhattan,28
475,rich,28
476,better,28
477,whom,28
478,sure,28
479,smoke,28
480,farms,28
481,mind,28
482,need,28
483,whose,28
484,brown,28
485,lover,28
486,proud,28
487,forward,28
488,going,28
489,tree,28
490,surely,28
491,flowing,28
492,soil,28
493,chants,28
494,flesh,27
495,waits,27
496,country,27
497,duly,27
498,coming,27
499,shows,27
500,sake,27
501,understand,27
502,between,27
503,foot,27
504,watch,27
505,meet,27
506,birth,27
507,dying,27
508,solid,27
509,star,27
510,ranks,26
511,grave,26
512,cold,26
513,delicate,26
514,beach,26
515,friends,26
516,sick,26
517,loving,26
518,brother,26
519,bay,26
520,iron,26
521,evil,26
522,moving,26
523,might,26
524,often,26
525,dim,26
526,greater,26
527,making,26
528,returning,26
529,self,26
530,said,26
531,served,25
532,solemn,25
533,dreams,25
534,storm,25
535,grand,25
536,grown,25
537,mark,25
538,drums,25
539,three,25
540,works,25
541,steady,25
542,flag,25
543,early,25
544,sisters,25
545,prairies,25
546,identity,25
547,press,25
548,rocks,25
549,politics,25
550,sails,25
551,field,25
552,advance,25
553,answer,25
554,poets,25
555,thine,24
556,fierce,24
557,swear,24
558,procession,24
559,huge,24
560,hills,24
