,word,freq
1,the,7728
2,to,5220
3,and,4983
4,of,3745
5,i,3657
6,a,3155
7,you,2925
8,he,2637
9,it,2244
10,in,2223
11,was,2192
12,that,2104
13,his,1858
14,for,1819
15,her,1525
16,not,1471
17,s,1437
18,said,1428
19,as,1405
20,she,1393
21,with,1328
22,but,1302
23,had,1166
24,be,1133
25,at,1119
26,is,1011
27,him,983
28,have,978
29,my,967
30,this,953
31,all,921
32,me,894
33,they,795
34,so,740
35,by,717
36,who,713
37,your,704
38,what,691
39,which,682
40,no,669
41,t,613
42,do,564
43,if,558
44,will,556
45,when,552
46,were,552
47,them,540
48,are,532
49,would,511
50,now,508
51,one,507
52,from,482
53,upon,477
54,out,476
55,mr,462
56,good,457
57,on,447
58,their,437
59,up,428
60,could,426
61,we,422
62,know,422
63,little,414
64,or,408
65,am,406
66,well,393
67,there,375
68,very,360
69,can,359
70,ll,340
71,did,338
72,been,335
73,more,330
74,see,324
75,about,323
76,time,316
77,then,309
78,into,308
79,some,308
80,never,308
81,here,307
82,how,304
83,don,304
84,mrs,303
85,come,303
86,an,295
87,sir,290
88,susan,289
89,go,287
90,father,280
91,should,274
92,shall,273
93,m,273
94,day,272
95,much,267
96,must,266
97,just,265
98,man,262
99,say,259
100,let,252
101,oh,248
102,great,243
103,make,242
104,has,242
105,give,239
106,sure,238
107,old,238
108,than,237
109,cried,233
110,came,233
111,any,232
112,these,232
113,like,226
114,down,218
115,take,218
116,own,217
117,us,213
118,boy,211
119,think,210
120,why,210
121,before,206
122,miss,205
123,himself,202
124,such,201
125,after,201
126,mother,201
127,tell,196
128,only,193
129,thought,189
130,may,188
131,look,182
132,archer,180
133,heard,178
134,cecilia,175
135,went,174
136,francisco,170
137,lady,170
138,saw,170
139,ma,167
140,made,165
141,where,165
142,money,165
143,hand,163
144,house,162
145,piedro,161
146,first,161
147,door,160
148,poor,158
149,though,153
150,arthur,152
151,nothing,152
152,yes,151
153,off,149
154,way,148
155,last,146
156,again,145
157,without,143
158,put,143
159,better,143
160,back,143
161,too,143
162,found,141
163,because,139
164,two,137
165,morning,136
166,indeed,135
167,ever,135
168,young,134
169,lord,133
170,other,132
171,thing,132
172,friend,131
173,going,131
174,work,131
175,over,128
176,many,127
177,might,127
178,away,127
179,louisa,126
180,hear,126
181,ve,125
182,jem,124
183,looked,124
184,being,124
185,long,124
186,won,123
187,done,123
188,most,122
189,another,122
190,talbot,121
191,guinea,121
192,get,120
193,night,120
194,always,119
195,till,119
196,told,118
197,something,116
198,please,114
199,hands,114
200,half,113
201,yet,113
202,leonora,112
203,our,112
204,quite,112
205,want,112
206,dear,112
207,best,112
208,knew,111
209,hal,110
210,those,110
211,enough,109
212,children,109
213,people,108
214,brother,108
215,head,107
216,speak,107
217,soon,107
218,left,106
219,round,106
220,got,105
221,woman,104
222,mind,103
223,find,103
224,herself,103
225,voice,102
226,looking,101
227,hope,101
228,wish,100
229,anything,100
230,whom,100
231,home,100
232,mean,98
233,word,98
234,right,97
235,few,97
236,attorney,96
237,ask,96
238,room,96
239,mary,96
240,frederick,95
241,de,95
242,things,95
243,gave,95
244,took,95
245,whilst,94
246,o,94
247,next,93
248,barbara,92
249,new,92
250,same,92
251,exclaimed,91
252,friends,91
253,leave,91
254,still,90
255,pray,89
256,rory,88
257,moment,88
258,case,88
259,world,86
260,loveit,85
261,wheeler,85
262,pay,85
263,d,84
264,gentleman,84
265,once,84
266,mistress,83
267,love,83
268,ben,82
269,bell,82
270,set,82
271,name,81
272,master,81
273,through,81
274,basket,80
275,eyes,80
276,everybody,80
277,ran,80
278,myself,79
279,whole,79
280,stood,79
281,every,79
282,grey,78
283,farmer,78
284,fisher,77
285,bursal,76
286,child,76
287,price,76
288,show,76
289,window,76
290,fine,76
291,franklin,75
292,box,75
293,matter,75
294,business,75
295,called,75
296,afraid,75
297,evening,75
298,amongst,74
299,call,72
300,believe,72
301,keep,72
302,companions,72
303,however,72
304,under,72
305,landlady,71
306,son,71
307,does,71
308,immediately,71
309,even,71
310,replied,71
311,hardy,70
312,continued,70
313,girl,70
314,nor,70
315,hat,69
316,lawrence,69
317,full,69
318,honest,69
319,perhaps,68
320,play,68
321,seen,68
322,place,68
323,asked,68
324,theresa,67
325,marianne,66
326,boys,66
327,began,66
328,rather,66
329,answer,66
330,having,66
331,since,65
332,fellow,65
333,part,65
334,words,65
335,given,64
336,felix,63
337,garden,63
338,truth,63
339,honour,63
340,care,63
341,tarlton,62
342,bad,62
343,landlord,62
344,three,62
345,yourself,62
346,lamb,61
347,thank,61
348,cannot,61
349,face,61
350,white,61
351,often,61
352,gone,61
353,hen,60
354,party,60
355,morrow,60
356,else,60
357,buy,60
358,turned,60
359,glad,60
360,end,60
361,carlo,59
362,several,59
363,wheel,59
364,village,58
365,heart,58
366,john,57
367,rose,57
368,happy,57
369,present,57
370,aside,56
371,person,56
372,opened,56
373,felt,56
374,each,56
375,sent,56
376,ladies,56
377,says,56
378,stay,56
379,coming,56
380,j,55
381,talb,55
382,passed,55
383,taken,55
384,against,55
385,ready,55
386,life,55
387,years,55
388,ha,54
389,somers,54
390,bow,54
391,reason,54
392,making,54
393,pleased,54
394,added,54
395,paid,54
396,used,54
397,maurice,53
398,nobody,53
399,its,53
400,obliged,53
401,near,53
402,madam,52
403,hold,52
404,remember,52
405,bit,52
406,stopped,52
407,dr,51
408,rosamond,51
409,pocket,51
410,ay,51
411,repeated,51
412,longer,51
413,land,51
414,brought,51
415,help,51
416,bed,51
417,gresham,50
418,minute,50
419,open,50
420,promise,50
421,scarcely,50
422,stand,50
423,maid,50
424,lad,50
425,use,50
426,uncle,49
427,papa,49
428,laughing,49
429,ye,49
430,others,49
431,manner,49
432,besides,49
433,along,49
434,paul,48
435,behind,48
436,hour,48
437,pretty,48
438,whose,48
439,gentlemen,48
440,bring,48
441,company,47
442,sorry,47
443,large,47
444,saying,47
445,grant,46
446,countenance,46
447,chimney,46
448,least,46
449,sister,46
450,character,46
451,table,46
452,taking,46
453,themselves,46
454,small,46
455,burs,45
456,tone,45
457,arm,45
458,fair,45
459,story,45
460,towards,45
461,anne,45
462,servant,45
463,wait,45
464,spoke,45
465,together,45
466,tattle,44
467,lucy,44
468,uniform,44
469,prize,44
470,corkscrew,44
471,pomfret,44
472,lost,44
473,understand,44
474,turning,44
475,market,44
476,instant,44
477,means,44
478,guineas,44
479,natured,44
480,fond,44
481,comes,44
482,captain,43
483,rest,43
484,green,43
485,silence,43
486,late,43
487,dinner,43
488,paper,43
489,true,43
490,forget,43
491,mamma,42
492,answered,42
493,horse,42
494,returned,42
495,pleasure,42
496,usual,42
497,promised,42
498,both,42
499,six,42
500,middleton,41
501,justice,41
502,length,41
503,broken,41
504,count,41
505,fast,41
506,piece,41
507,deal,41
508,need,41
509,sophy,40
510,oakly,40
511,pigeon,40
512,town,40
513,key,40
514,coat,40
515,mine,40
516,five,40
517,appeared,40
518,eye,40
519,either,40
520,forward,40
521,year,40
522,ill,40
523,hill,39
524,power,39
525,try,39
526,observed,39
527,family,39
528,fresh,39
529,times,39
530,alone,39
531,supper,39
532,able,39
533,naples,38
534,somerville,38
535,shop,38
536,certainly,38
537,wrong,38
538,ground,38
539,everything,38
540,far,38
541,four,38
542,held,37
543,laugh,37
544,dog,37
545,wife,37
546,hall,37
547,days,37
548,whether,37
549,men,37
550,live,37
551,while,37
552,shillings,37
553,anybody,37
554,side,37
555,afterwards,37
556,stop,37
557,lived,37
558,dress,36
559,carriage,36
560,almost,36
561,eat,36
562,silver,36
563,glass,36
564,gold,36
565,none,36
566,joy,36
567,short,36
568,hard,36
569,bread,36
570,become,36
571,daughter,36
572,worship,35
573,abbey,35
574,cousin,35
575,return,35
576,angry,35
577,between,35
578,breakfast,35
579,interrupted,35
580,generous,35
581,mistaken,35
582,talk,35
583,turn,35
584,pulled,35
585,favourite,35
586,threw,35
587,received,35
588,run,35
589,walk,35
590,doing,35
591,wanted,35
592,castle,35
593,townsend,34
594,farm,34
595,suppose,34
596,meant,34
597,talking,34
598,safe,34
599,cut,34
600,finished,34
601,philip,33
602,sense,33
603,drawing,33
604,em,33
605,high,33
606,halfpence,33
607,carry,33
608,beg,33
609,sight,33
610,water,33
611,hours,33
612,walked,33
613,sort,33
614,hopes,33
615,edmund,33
616,thinking,33
617,rosetta,32
618,manager,32
619,montague,32
620,william,32
621,wood,32
622,tree,32
623,necessary,32
624,plums,32
625,lightfoot,32
626,certain,32
627,vain,32
628,sat,32
629,wished,32
630,followed,32
631,send,32
632,excellent,32
633,fish,31
634,sugar,31
635,birthday,31
636,mistake,31
637,enter,31
638,yours,31
639,consequence,31
640,therefore,31
641,became,31
642,clock,31
643,servants,31
644,bid,31
645,proper,31
646,read,31
647,kept,31
648,known,31
649,fear,31
650,noise,31
651,villars,30
652,sweepstakes,30
653,diana,30
654,eton,30
655,laura,30
656,carpenter,30
657,really,30
658,black,30
659,favour,30
660,minutes,30
661,ago,30
662,within,30
663,expected,30
664,ten,30
665,seemed,30
666,hurry,30
667,taught,30
668,sold,30
669,fancy,30
670,shilling,30
671,forgive,29
672,crowd,29
673,fruit,29
674,makes,29
675,tears,29
676,rich,29
677,impatient,29
678,letter,29
679,account,29
680,light,29
681,happened,29
682,carried,29
683,lay,29
684,bless,29
685,lease,28
686,bab,28
687,fortune,28
688,possible,28
689,betty,28
690,grandmother,28
691,gardener,28
692,follow,28
693,silent,28
694,purse,28
695,surprised,28
696,neither,28
697,instead,28
698,purpose,28
699,beside,28
700,fall,28
701,week,28
702,sit,28
703,gipsy,27
704,christopher,27
705,waiter,27
706,broke,27
707,salt,27
708,hey,27
709,judge,27
710,yesterday,27
711,pardon,27
712,public,27
713,nay,27
714,ball,27
715,waiting,27
716,desired,27
717,sell,27
718,luck,27
719,eagerly,27
720,proud,27
721,anyone,27
722,standing,27
723,begged,27
724,foot,27
725,flora,26
726,archers,26
727,butler,26
728,surely,26
729,spirit,26
730,stable,26
731,during,26
732,crown,26
733,cross,26
734,showed,26
735,school,26
736,bought,26
737,trust,26
738,neighbours,26
739,fell,26
740,newington,25
741,book,25
742,goes,25
743,credit,25
744,cook,25
745,smile,25
746,forgot,25
747,looks,25
748,secret,25
749,pointing,25
750,conduct,25
751,age,25
752,english,25
753,twenty,25
754,coins,25
755,cause,25
756,running,25
757,early,25
758,choose,25
759,exactly,25
760,attention,25
761,red,25
762,penny,25
763,above,25
764,bear,25
765,liked,25
766,sake,25
767,speaking,25
768,fire,25
769,sitting,25
770,finsbury,24
771,scene,24
772,beautiful,24
773,impossible,24
774,passion,24
775,cunning,24
776,fixed,24
777,desire,24
778,touched,24
779,cold,24
780,fool,24
781,whispered,24
782,smiling,24
783,dark,24
784,wonder,24
785,value,24
786,treasure,24
787,loud,24
788,haste,24
789,surprise,24
790,idle,24
791,expect,24
792,forgotten,24
793,lie,24
794,candles,24
795,share,24
796,winter,24
797,twelve,24
798,doctor,23
799,tulip,23
800,string,23
801,harper,23
802,butcher,23
803,charming,23
804,struck,23
805,especially,23
806,course,23
807,assure,23
808,everyone,23
809,recollect,23
810,declared,23
811,sooner,23
812,corner,23
813,law,23
814,perfectly,23
815,pale,23
816,suddenly,23
817,shoes,23
818,isabella,23
819,gate,23
820,less,23
821,kitchen,23
822,likely,23
823,sleep,23
824,sisters,23
825,huzza,22
826,exit,22
827,aloud,22
828,fit,22
829,passage,22
830,usually,22
831,cord,22
832,board,22
833,knows,22
834,break,22
835,cottage,22
836,close,22
837,easily,22
838,recollected,22
839,halfpenny,22
840,famous,22
841,opinion,22
842,kind,22
843,sometimes,22
844,also,22
845,thus,22
846,history,22
847,putting,22
848,directly,22
849,neighbour,22
850,sweeper,21
851,bustle,21
852,top,21
853,patty,21
854,montem,21
855,brian,21
856,rule,21
857,pity,21
858,voices,21
859,shut,21
860,health,21
861,met,21
862,housekeeper,21
863,fault,21
864,yard,21
865,measure,21
866,stones,21
867,step,21
868,jew,21
869,breath,21
870,seeing,21
871,grew,21
872,country,21
873,lucky,21
874,spot,21
875,nice,21
876,news,21
877,midst,21
878,presently,21
879,gratitude,21
880,caroline,21
881,thanked,21
882,offered,21
883,agent,21
884,resolved,21
885,sixpence,21
886,nine,21
887,orphans,21
888,villa,20
889,chaise,20
890,lace,20
891,lads,20
892,confidence,20
893,queen,20
894,whatever,20
895,lane,20
896,changed,20
897,success,20
898,inn,20
899,seem,20
900,parcel,20
901,harm,20
902,god,20
903,tried,20
904,question,20
905,worth,20
906,danger,20
907,sound,20
908,number,20
909,determined,20
910,frightened,20
911,air,20
912,giving,20
913,bottom,20
914,waited,20
915,further,20
916,nature,20
917,neat,20
918,honesty,20
919,employed,20
920,thoughts,20
921,eating,20
922,gathered,20
923,resina,19
924,greybeard,19
925,italian,19
926,raspberries,19
927,downs,19
928,ryan,19
929,generosity,19
930,taste,19
931,eager,19
932,reading,19
933,bill,19
934,point,19
935,arms,19
936,idea,19
937,feel,19
938,companion,19
939,started,19
940,sudden,19
941,begin,19
942,cry,19
943,bag,19
944,notice,19
945,street,19
946,tied,19
947,meet,19
948,waste,19
949,speech,19
950,ah,19
951,filled,19
952,order,19
953,busy,19
954,change,19
955,laughed,19
956,caught,19
957,worked,19
958,month,19
959,dead,19
960,grapes,18
961,bracelet,18
962,eden,18
963,plum,18
964,vote,18
965,holding,18
966,simple,18
967,reasons,18
968,occasion,18
969,handsome,18
970,spoken,18
971,churchill,18
972,education,18
973,spencer,18
974,houses,18
975,conscience,18
976,burst,18
977,daresay,18
978,playing,18
979,different,18
980,somebody,18
981,hungry,18
982,strawberries,18
983,lazy,18
984,didn,18
985,affair,18
986,pushed,18
987,barring,18
988,shame,18
989,except,18
990,mouth,18
991,ought,18
992,discovered,18
993,temper,18
994,join,18
995,nearly,18
996,hurt,18
997,quick,18
998,cost,18
999,warm,18
1000,clothes,18
1001,hopkins,18
1002,england,18
1003,tired,18
1004,tis,18
1005,handkerchief,17
1006,merchants,17
1007,spoiled,17
1008,windows,17
1009,cox,17
1010,refuse,17
1011,playhouse,17
1012,message,17
1013,habits,17
1014,learn,17
1015,secure,17
1016,indignation,17
1017,road,17
1018,win,17
1019,contempt,17
1020,praise,17
1021,trial,17
1022,conversation,17
1023,ear,17
1024,deserve,17
1025,trouble,17
1026,dressed,17
1027,opposite,17
1028,spent,17
1029,parlour,17
1030,pressed,17
1031,instantly,17
1032,doubt,17
1033,meeting,17
1034,alarmed,17
1035,past,17
1036,honey,17
1037,drinking,17
1038,miles,17
1039,ashamed,17
1040,orders,17
1041,stairs,17
1042,whenever,17
1043,write,17
1044,afford,17
1045,welcome,17
1046,hundred,17
1047,chair,17
1048,drink,17
1049,death,17
1050,milk,17
1051,industrious,17
1052,trueman,16
1053,signor,16
1054,p,16
1055,ladyship,16
1056,colour,16
1057,coach,16
1058,daisy,16
1059,tune,16
1060,watch,16
1061,accident,16
1062,lose,16
1063,friendship,16
1064,meat,16
1065,entered,16
1066,creature,16
1067,hedge,16
1068,visit,16
1069,field,16
1070,_i_,16
1071,twice,16
1072,dropped,16
1073,sigh,16
1074,confess,16
1075,folks,16
1076,worse,16
1077,note,16
1078,spirits,16
1079,knowing,16
1080,convinced,16
1081,honestly,16
1082,belonged,16
1083,persuaded,16
1084,curiosity,16
1085,delighted,16
1086,eight,16
1087,reward,16
1088,coloured,16
1089,advantage,16
1090,englishman,16
1091,plain,16
1092,learned,16
1093,telling,16
1094,cast,16
1095,earned,16
1096,covered,16
1097,rent,16
1098,peggy,16
1099,particular,16
1100,lying,16
1101,brothers,16
1102,blanket,15
1103,scotcher,15
1104,tom,15
1105,poz,15
1106,peddler,15
1107,nonsense,15
1108,arrow,15
1109,song,15
1110,pain,15
1111,books,15
1112,blind,15
1113,arrows,15
1114,music,15
1115,wall,15
1116,observe,15
1117,thousand,15
1118,places,15
1119,notion,15
1120,loved,15
1121,declare,15
1122,drew,15
1123,ordered,15
1124,command,15
1125,greatest,15
1126,loss,15
1127,low,15
1128,middle,15
1129,appearance,15
1130,extremely,15
1131,mischief,15
1132,smiled,15
1133,questions,15
1134,bristol,15
1135,months,15
1136,pains,15
1137,reply,15
1138,unless,15
1139,reached,15
1140,blue,15
1141,perceived,15
1142,king,15
1143,mount,15
1144,custom,15
1145,dry,15
1146,summer,15
1147,common,15
1148,earn,15
1149,spinning,15
1150,chaises,14
1151,vesuvius,14
1152,mandarin,14
1153,theatre,14
1154,hole,14
1155,seeds,14
1156,effect,14
1157,whip,14
1158,mad,14
1159,baker,14
1160,general,14
1161,triumph,14
1162,customers,14
1163,spectators,14
1164,hearing,14
1165,proverb,14
1166,basin,14
1167,thanks,14
1168,nearer,14
1169,feelings,14
1170,thinks,14
1171,led,14
1172,upstairs,14
1173,candle,14
1174,astonishment,14
1175,produced,14
1176,across,14
1177,trembling,14
1178,second,14
1179,circle,14
1180,appear,14
1181,bold,14
1182,formed,14
1183,empty,14
1184,humour,14
1185,apples,14
1186,game,14
1187,difference,14
1188,willing,14
1189,opportunity,14
1190,quickly,14
1191,fortnight,14
1192,numbers,14
1193,flowers,14
1194,grand,14
1195,useful,14
1196,proceeded,14
1197,drawings,14
1198,escaped,14
1199,contrary,14
1200,food,14
1201,search,14
1202,pot,14
1203,showing,14
1204,walking,14
1205,feet,14
1206,neighbourhood,14
1207,acquaintance,14
1208,inquired,14
1209,returning,14
1210,twopence,14
1211,receive,14
1212,refused,14
1213,dunstable,13
1214,wheels,13
1215,melon,13
1216,cheat,13
1217,saracen,13
1218,streets,13
1219,plants,13
1220,raspberry,13
1221,clever,13
1222,sings,13
1223,wind,13
1224,carriages,13
1225,silly,13
1226,prevent,13
1227,decided,13
1228,explained,13
1229,reasonable,13
1230,steps,13
1231,hero,13
1232,straw,13
1233,circumstance,13
1234,bar,13
1235,burnt,13
1236,lend,13
1237,body,13
1238,sufficient,13
1239,entirely,13
1240,honourable,13
1241,pie,13
1242,assistance,13
1243,difficult,13
1244,forced,13
1245,goodness,13
1246,example,13
1247,listened,13
1248,plate,13
1249,written,13
1250,rang,13
1251,opening,13
1252,pull,13
1253,already,13
1254,mats,13
1255,constant,13
1256,interest,13
1257,delight,13
1258,satisfied,13
1259,n,13
1260,guess,13
1261,signify,13
1262,chance,13
1263,turns,13
1264,saved,13
1265,trusted,13
1266,getting,13
1267,pair,13
1268,pleasant,13
1269,anxious,13
1270,fat,13
1271,doors,13
1272,teach,13
1273,particularly,13
1274,inquire,13
1275,softly,13
1276,crying,13
1277,pieces,13
1278,played,13
1279,carefully,13
1280,distance,13
1281,talked,13
1282,vineyard,12
1283,punishment,12
1284,carbuncle,12
1285,mimic,12
1286,reasoning,12
1287,scotchman,12
1288,figure,12
1289,hunter,12
1290,fifty,12
1291,wise,12
1292,die,12
1293,quietly,12
1294,suit,12
1295,unjust,12
1296,beginning,12
1297,happiness,12
1298,manners,12
1299,earnest,12
1300,flaw,12
1301,yellow,12
1302,perceive,12
1303,placed,12
1304,shoulder,12
1305,real,12
1306,judgment,12
1307,secretly,12
1308,rejoiced,12
1309,slept,12
1310,choice,12
1311,aunt,12
1312,approbation,12
1313,false,12
1314,hung,12
1315,expressed,12
1316,spread,12
1317,self,12
1318,strange,12
1319,meantime,12
1320,thrown,12
1321,sing,12
1322,starting,12
1323,pulling,12
1324,seizing,12
1325,re,12
1326,admired,12
1327,frequently,12
1328,throw,12
1329,anger,12
1330,absolutely,12
1331,singing,12
1332,quarter,12
1333,observing,12
1334,scheme,12
1335,various,12
1336,awake,12
1337,afore,12
1338,husband,12
1339,active,12
1340,appointed,12
1341,related,12
1342,moments,12
1343,charge,12
1344,informed,12
1345,flattered,12
1346,knees,12
1347,mercy,12
1348,industry,12
1349,gown,12
1350,acquainted,12
1351,persons,12
1352,knowledge,12
1353,agreed,12
1354,yonder,12
1355,worst,12
1356,kindness,12
1357,treated,12
1358,messenger,12
1359,prepared,12
1360,service,12
1361,hanging,12
1362,settled,12
1363,helped,12
1364,mentioned,12
1365,utmost,12
1366,considered,12
1367,joined,12
1368,according,12
1369,disposed,12
1370,laid,12
1371,hearty,12
1372,strong,12
1373,rossmore,12
1374,ruins,12
1375,robbers,11
1376,eruption,11
