,word,freq
1,he,678
2,the,660
3,and,516
4,to,436
5,of,342
6,that,308
7,it,300
8,a,287
9,was,274
10,buster,229
11,had,211
12,little,207
13,his,184
14,t,170
15,as,163
16,in,161
17,s,159
18,is,156
19,i,156
20,bear,152
21,all,119
22,so,117
23,you,113
24,him,113
25,joe,112
26,for,104
27,brown,102
28,one,102
29,at,101
30,farmer,100
31,but,99
32,boy,95
33,there,95
34,on,90
35,green,87
36,very,86
37,they,82
38,when,80
39,just,79
40,then,77
41,if,76
42,see,74
43,what,69
44,up,66
45,forest,66
46,be,64
47,with,64
48,out,63
49,didn,57
50,could,56
51,have,53
52,blacky,52
53,who,52
54,otter,51
55,no,51
56,said,50
57,great,50
58,them,49
59,big,49
60,time,48
61,know,48
62,pool,47
63,from,46
64,now,46
65,would,46
66,berries,44
67,been,44
68,about,44
69,fish,44
70,this,44
71,way,44
72,down,43
73,old,42
74,sammy,42
75,were,41
76,some,41
77,pail,40
78,away,40
79,afraid,40
80,more,40
81,looked,39
82,billy,39
83,too,38
84,or,38
85,do,37
86,trout,37
87,how,36
88,where,36
89,right,36
90,tree,36
91,than,34
92,get,34
93,laughing,34
94,over,33
95,brook,32
96,himself,32
97,are,31
98,thing,31
99,other,29
100,couldn,29
101,chatterer,29
102,mink,28
103,any,28
104,by,28
105,pasture,27
106,ll,27
107,me,27
108,come,27
109,sure,27
110,my,27
111,make,27
112,did,26
113,made,25
114,even,25
115,frightened,25
116,thought,25
117,thief,25
118,jay,25
119,think,25
120,ever,24
121,can,24
122,bad,24
123,back,24
124,saw,24
125,go,24
126,else,24
127,has,24
128,eyes,23
129,those,23
130,much,23
131,smiling,23
132,eat,23
133,head,23
134,went,23
135,never,23
136,crow,23
137,heard,23
138,everybody,22
139,grandfather,22
140,enough,22
141,long,22
142,not,22
143,m,22
144,people,22
145,fishing,22
146,frog,21
147,believe,21
148,seen,21
149,caught,21
150,which,21
151,came,21
152,knew,21
153,into,21
154,off,21
155,until,21
156,because,20
157,will,20
158,day,20
159,morning,20
160,something,19
161,next,19
162,such,19
163,first,19
164,we,18
165,tell,18
166,started,18
167,mr,18
168,before,18
169,good,18
170,reddy,17
171,peter,17
172,run,17
173,might,17
174,began,17
175,behind,17
176,fat,17
177,voice,17
178,don,16
179,keep,16
180,wasn,16
181,course,16
182,going,16
183,felt,16
184,got,16
185,once,16
186,caw,15
187,find,15
188,place,15
189,found,15
190,isn,15
191,still,15
192,meadows,15
193,catch,15
194,another,15
195,happened,15
196,most,15
197,must,15
198,through,15
199,nothing,14
200,things,14
201,like,14
202,same,14
203,looking,14
204,mind,14
205,breakfast,14
206,around,13
207,minute,13
208,kept,13
209,only,13
210,two,13
211,let,13
212,water,13
213,should,13
214,along,13
215,squirrel,13
216,red,13
217,told,13
218,sat,13
219,face,12
220,hard,12
221,look,12
222,say,12
223,take,12
224,lot,12
225,always,12
226,home,12
227,fear,12
228,anything,12
229,bank,12
230,sight,12
231,near,12
232,want,12
233,top,12
234,fast,12
235,seemed,12
236,held,11
237,rabbit,11
238,hair,11
239,really,11
240,far,11
241,guess,11
242,smart,11
243,edge,11
244,fun,11
245,temper,11
246,perhaps,11
247,wouldn,11
248,live,11
249,reached,11
250,true,10
251,fox,10
252,breath,10
253,footprint,10
254,making,10
255,again,10
256,an,10
257,last,10
258,funny,10
259,better,10
260,hadn,10
261,why,10
262,fine,10
263,took,10
264,sir,10
265,yes,10
266,after,10
267,r,9
268,stand,9
269,neck,9
270,side,9
271,watching,9
272,coming,9
273,plan,9
274,being,9
275,cried,9
276,known,9
277,try,9
278,here,9
279,without,9
280,gave,9
281,straight,9
282,laugh,9
283,best,9
284,wanted,9
285,worse,8
286,tin,8
287,ran,8
288,yell,8
289,thick,8
290,tried,8
291,hero,8
292,carried,8
293,deal,8
294,word,8
295,jolly,8
296,morrow,8
297,ha,8
298,instead,8
299,soon,8
300,almost,8
301,every,8
302,having,8
303,quite,8
304,mouth,8
305,stopped,8
306,happy,8
307,kind,8
308,while,8
309,early,8
310,ought,7
311,habit,7
312,help,7
313,nearer,7
314,flew,7
315,meet,7
316,news,7
317,hiding,7
318,loud,7
319,fellow,7
320,sun,7
321,climbed,7
322,running,7
323,fright,7
324,their,7
325,bobby,7
326,oh,7
327,doesn,7
328,laughed,7
329,foolish,7
330,watch,7
331,many,7
332,moved,7
333,well,7
334,hungry,7
335,pretty,7
336,sitting,7
337,your,7
338,care,7
339,deep,7
340,terrible,7
341,wonder,7
342,screaming,7
343,blue,6
344,climb,6
345,bushes,6
346,flat,6
347,exciting,6
348,unc,6
349,strong,6
350,excited,6
351,rise,6
352,life,6
353,happen,6
354,fly,6
355,comes,6
356,round,6
357,growled,6
358,advice,6
359,neighbors,6
360,ve,6
361,waited,6
362,hurried,6
363,least,6
364,angry,6
365,few,6
