,word,freq
1,the,993
2,and,863
3,to,685
4,of,610
5,i,574
6,you,527
7,a,511
8,my,502
9,it,419
10,in,400
11,that,377
12,ham,337
13,is,328
14,not,300
15,his,285
16,this,276
17,with,254
18,your,253
19,but,249
20,for,245
21,me,228
22,d,223
23,lord,211
24,what,211
25,as,205
26,he,202
27,be,192
28,so,189
29,him,178
30,haue,178
31,king,172
32,will,149
33,no,137
34,on,131
35,our,130
36,we,128
37,s,124
38,are,123
39,if,114
40,all,109
41,then,108
42,shall,107
43,thou,107
44,by,107
45,let,104
46,do,104
47,come,104
48,or,103
49,hamlet,100
50,good,98
51,her,95
52,hor,95
53,now,92
54,there,92
55,t,91
56,they,90
57,thy,90
58,more,89
59,how,89
60,from,87
61,enter,85
62,was,84
63,oh,81
64,at,81
65,like,80
66,most,77
67,would,73
68,know,71
69,well,71
70,tis,69
71,selfe,68
72,o,67
73,them,67
74,loue,66
75,may,65
76,vs,64
77,did,63
78,qu,62
79,sir,62
80,th,62
81,laer,60
82,why,60
83,which,60
84,too,60
85,giue,59
86,must,58
87,ile,58
88,thee,58
89,hath,57
90,ophe,56
91,should,56
92,where,56
93,out,55
94,speake,55
95,make,54
96,an,53
97,such,52
98,say,52
99,am,52
100,vpon,52
101,doe,51
102,when,51
103,father,50
104,heere,50
105,pol,49
106,very,49
107,their,48
108,go,48
109,see,48
110,man,46
111,one,46
112,had,46
113,she,45
114,some,45
115,these,44
116,mine,44
117,time,44
118,heauen,44
119,rosin,43
120,play,43
121,tell,43
122,thinke,43
123,much,43
124,who,42
125,thus,41
126,mother,40
127,horatio,40
128,queene,39
129,polon,38
130,night,38
131,yet,37
132,death,37
133,vp,36
134,laertes,35
135,can,35
136,both,34
137,againe,34
138,soule,33
139,life,33
140,nor,32
141,take,32
142,could,31
143,owne,31
144,looke,31
145,mar,31
146,heare,31
147,might,30
148,dead,30
149,heart,30
150,clo,29
151,st,29
152,made,29
153,ophelia,28
154,pray,28
155,downe,28
156,hast,28
157,into,27
158,indeed,27
159,leaue,27
160,cannot,27
161,other,27
162,doth,27
163,whose,27
164,away,27
165,nothing,27
166,ha,27
167,matter,26
168,were,26
169,head,26
170,god,26
171,nay,26
172,world,25
173,day,25
174,hold,25
175,thing,25
176,neuer,24
177,l,24
178,nature,24
179,call,23
180,exeunt,23
181,re,23
182,done,23
183,comes,23
184,set,22
185,put,22
186,sweet,22
187,though,22
188,true,22
189,two,22
190,mad,21
191,madnesse,21
192,follow,21
193,hee,21
194,feare,21
195,earth,21
196,euen,21
197,ghost,21
198,england,20
199,guild,20
200,himselfe,20
201,wee,20
202,poore,20
203,within,20
204,sonne,20
205,fathers,20
206,deere,20
207,polonius,20
208,shew,20
209,those,20
210,denmarke,20
211,faire,20
212,against,20
213,eyes,20
214,seene,20
215,players,19
216,words,19
217,meanes,19
218,great,19
219,till,19
220,off,19
221,about,19
222,hand,19
223,once,19
224,friends,19
225,osr,18
226,does,18
227,still,18
228,part,18
229,exit,18
230,guildensterne,17
231,end,17
232,goe,17
233,keepe,17
234,eare,17
235,first,17
236,thoughts,17
237,old,17
238,any,17
239,beleeue,17
240,before,17
241,art,17
242,long,17
243,sword,16
244,makes,16
245,speech,16
246,daughter,16
247,bee,16
248,body,16
249,noble,16
250,while,16
251,welcome,16
252,since,15
253,graue,15
254,many,15
255,betweene,15
256,marry,15
257,ere,15
258,kin,15
259,farewell,15
260,better,15
261,liue,15
262,stand,15
263,rest,14
264,sent,14
265,youth,14
266,saw,14
267,drinke,14
268,tongue,14
269,thine,14
270,eye,14
271,spirit,14
272,heard,14
273,thought,14
274,question,14
275,therefore,14
276,watch,14
277,cause,13
278,reynol,13
279,after,13
280,command,13
281,said,13
282,else,13
283,vertue,13
284,none,13
285,beene,13
286,breath,13
287,little,13
288,beare,13
289,gertrude,13
290,finde,13
291,euer,13
292,grace,13
293,vse,13
294,fortinbras,13
295,goes,13
296,state,13
297,without,13
298,gone,13
299,marke,13
300,same,13
301,last,13
302,bed,13
303,helpe,12
304,blood,12
305,fit,12
306,bring,12
307,meane,12
308,winde,12
309,foule,12
310,word,12
311,gentlemen,12
312,faith,12
313,remember,12
314,madam,12
315,friend,12
316,reason,12
317,further,12
318,purpose,12
319,selues,12
320,farre,12
321,ayre,12
322,something,12
323,forme,12
324,verie,11
325,dost,11
326,rosincrance,11
327,passion,11
328,right,11
329,villaine,11
330,reuenge,11
331,free,11
332,please,11
333,way,11
334,sleepe,11
335,ye,11
336,each,11
337,excellent,11
338,kinde,11
339,best,11
340,newes,11
341,things,11
342,fire,11
343,being,11
344,stay,11
345,honest,11
346,pyrrhus,10
347,mee,10
348,fortune,10
349,lady,10
350,guil,10
351,murther,10
352,action,10
353,giuen,10
354,iudgement,10
355,second,10
356,here,10
357,hell,10
358,name,10
359,face,10
360,heauens,10
361,minde,10
362,alone,10
363,doubt,10
364,businesse,10
365,late,10
366,twere,10
367,greefe,10
368,oft,10
369,voyce,10
370,full,10
371,together,10
372,peace,10
373,men,10
374,marcellus,10
375,barn,10
376,poyson,9
377,three,9
378,fine,9
379,gentleman,9
380,worke,9
381,sweare,9
382,offence,9
383,ought,9
384,alas,9
385,gho,9
386,draw,9
387,phrase,9
388,neere,9
389,deare,9
390,armes,9
391,hands,9
392,act,9
393,fellow,9
394,seeme,9
395,pardon,9
396,brothers,9
397,walke,9
398,young,9
399,strange,9
400,hora,9
401,breake,9
402,eares,9
403,goodnight,9
404,thankes,9
405,get,9
406,answer,9
407,husband,8
408,kill,8
409,conscience,8
410,lye,8
411,fall,8
412,thousand,8
413,age,8
414,ouer,8
415,another,8
416,lay,8
417,hither,8
418,wilt,8
419,borne,8
420,custome,8
421,light,8
422,euery,8
423,deed,8
424,fashion,8
425,top,8
426,teares,8
427,kings,8
428,blacke,8
429,seemes,8
430,common,8
431,seeke,8
432,queen,8
433,beseech,8
434,came,8
435,wife,8
436,ioy,8
437,woe,8
438,whole,8
439,sister,8
440,duty,8
441,yong,8
442,power,8
443,wrong,8
444,soft,8
445,lost,8
446,fell,8
447,pale,8
448,maiesty,8
449,sit,8
450,sight,8
451,ground,8
452,fran,8
453,barnardo,8
454,times,7
455,noise,7
456,e,7
457,honor,7
458,ore,7
459,bad,7
460,gaue,7
461,thanke,7
462,maiestie,7
463,receiue,7
464,hope,7
465,hamlets,7
466,letters,7
467,musicke,7
468,touch,7
469,sure,7
470,table,7
471,takes,7
472,giues,7
473,shame,7
474,grow,7
475,honour,7
476,almost,7
477,woman,7
478,obey,7
479,desire,7
480,shewes,7
481,through,7
482,dust,7
483,lesse,7
484,mouth,7
485,brother,7
486,memory,7
487,season,7
488,sound,7
489,bin,7
490,law,7
491,knowne,7
492,look,7
493,charge,7
494,lookes,7
495,bar,7
496,scull,6
497,water,6
498,drown,6
499,wager,6
500,begge,6
501,danish,6
502,christian,6
503,dangerous,6
504,quicke,6
505,gods,6
506,proofe,6
507,anon,6
508,begin,6
509,yours,6
510,laugh,6
511,fortunes,6
512,round,6
513,ill,6
514,home,6
515,moue,6
516,generall,6
517,ranke,6
518,needs,6
519,ho,6
520,damned,6
521,wits,6
522,crowne,6
523,fat,6
524,dayes,6
525,shape,6
526,keepes,6
527,vowes,6
528,foole,6
529,circumstance,6
530,vnderstand,6
531,false,6
532,neither,6
533,double,6
534,effect,6
535,enough,6
536,maid,6
537,withall,6
538,seruice,6
539,fare,6
540,beard,6
541,mothers,6
542,lordship,6
543,backe,6
544,note,6
545,writ,6
546,marriage,6
547,sorrow,6
548,loues,6
549,dumbe,6
550,gracious,6
551,sayes,6
552,truth,6
553,sea,6
554,list,6
555,hot,6
556,cast,6
557,buried,6
558,peece,6
559,place,6
560,dane,6
561,bid,6
562,cold,6
563,hit,5
564,foyles,5
565,carriages,5
566,osricke,5
567,alexander,5
568,buriall,5
569,sense,5
570,slaine,5
571,ene,5
572,doo,5
573,hence,5
574,forgot,5
575,yeare,5
576,halfe,5
577,patience,5
578,hoa,5
579,fellowes,5
580,drowne,5
581,conceit,5
582,morrow,5
583,bestow,5
584,treason,5
585,french,5
586,onely,5
587,twas,5
588,braines,5
589,themselues,5
590,sing,5
591,ambition,5
592,saue,5
593,slaue,5
594,presently,5
595,behinde,5
596,try,5
597,short,5
598,vilde,5
599,passe,5
600,commission,5
601,whereon,5
602,found,5
603,dutie,5
604,brought,5
605,turn,5
606,arme,5
607,tooke,5
608,lacke,5
609,mercy,5
610,vnder,5
611,point,5
612,knaue,5
613,m,5
614,braine,5
615,adue,5
616,sodaine,5
617,holds,5
618,naturall,5
619,went,5
620,prison,5
621,shalt,5
622,desperate,5
623,n,5
624,cries,5
625,soules,5
626,damn,5
627,making,5
628,audience,5
629,buy,5
630,mans,5
631,dull,5
632,blessing,5
633,wisedome,5
634,perhaps,5
635,silence,5
636,warrant,5
637,perchance,5
638,countenance,5
