,word,freq
1,the,439
2,and,348
3,of,146
4,in,141
5,i,130
6,a,128
7,to,111
8,my,83
9,with,66
10,his,57
11,he,56
12,is,52
13,s,48
14,little,45
15,they,44
16,on,44
17,thee,42
18,all,39
19,that,39
20,but,38
21,not,37
22,thou,35
23,like,35
24,her,34
25,their,34
26,me,34
27,for,32
28,from,32
29,thy,31
30,was,30
31,then,30
32,it,29
33,love,29
34,night,28
35,can,28
36,when,28
37,sweet,28
38,where,27
39,what,26
40,o,26
41,are,25
42,be,25
43,joy,25
44,weep,24
45,away,24
46,by,24
47,father,22
48,our,22
49,d,22
50,or,21
51,sleep,21
52,an,21
53,so,21
54,down,20
55,mother,19
56,day,19
57,shall,19
58,happy,19
59,who,18
60,no,18
61,does,18
62,child,18
63,never,17
64,if,17
65,have,17
66,we,17
67,every,17
68,human,16
69,see,16
70,infant,16
71,as,16
72,am,16
73,voice,16
74,er,16
75,green,16
76,hear,16
77,thel,16
78,why,15
79,nor,15
80,this,15
81,she,15
82,bright,15
83,till,15
84,lamb,15
85,cloud,15
86,its,14
87,weeping,14
88,head,14
89,upon,14
90,delight,14
91,how,14
92,while,14
93,holy,13
94,heard,12
95,tears,12
96,children,12
97,did,12
98,face,12
99,there,12
100,care,12
101,white,12
102,sit,12
103,heart,11
104,smiles,11
105,fear,11
106,your,11
107,him,11
108,come,11
109,light,11
110,oh,11
111,boy,11
112,god,11
113,birds,11
114,sun,11
115,know,11
116,sing,11
117,worm,10
118,heaven,10
119,lay,10
120,sorrow,10
121,earth,10
122,morning,10
123,tree,10
124,were,10
125,song,10
126,virgin,9
127,lyca,9
128,woe,9
129,pity,9
130,eyes,9
131,hand,9
132,deep,9
133,rose,9
134,came,9
135,you,9
136,flowers,9
137,angel,9
138,vales,9
139,round,9
140,more,9
141,play,9
142,arise,9
143,peace,9
144,tender,9
145,wept,9
146,merry,9
147,wild,9
148,another,8
149,go,8
150,bed,8
151,mercy,8
152,image,8
153,smile,8
154,over,8
155,silent,8
156,form,8
157,lost,8
158,do,8
159,them,8
160,pretty,8
161,golden,8
162,black,8
163,life,8
164,youth,8
165,among,8
166,spring,8
167,morn,8
168,said,8
169,ah,7
170,maid,7
171,garden,7
172,itself,7
173,grass,7
174,fly,7
175,merrily,7
176,now,7
177,small,7
178,doth,7
179,through,7
180,cold,7
181,dark,7
182,let,7
183,had,7
184,sleeping,7
185,cry,7
186,before,7
187,bore,7
188,mild,7
189,many,7
190,say,7
191,at,7
192,saw,7
193,songs,7
194,born,6
195,art,6
196,death,6
197,church,6
198,summer,6
199,trembling,6
200,vain,6
201,fled,6
202,both,6
203,tear,6
204,gone,6
205,gold,6
206,should,6
207,man,6
208,divine,6
209,air,6
210,led,6
211,shine,6
212,up,6
213,cannot,6
214,tom,6
215,could,6
216,near,6
217,seek,6
218,shade,6
219,free,6
220,these,6
221,live,6
222,tell,6
223,such,6
224,laugh,6
225,hair,6
226,old,6
227,seen,6
228,filled,6
229,made,6
230,may,6
231,book,6
232,gentle,5
233,fade,5
234,would,5
235,beauty,5
236,lily,5
237,eye,5
238,tiger,5
239,queen,5
240,thought,5
241,because,5
242,fears,5
243,desert,5
244,winter,5
245,land,5
246,thing,5
247,dread,5
248,ground,5
249,sigh,5
250,us,5
251,breast,5
252,year,5
253,lion,5
254,pitying,5
255,each,5
256,feet,5
257,flower,5
258,into,5
259,has,5
260,soft,5
261,pale,5
262,told,5
263,naked,5
264,mind,5
265,yet,5
266,out,5
267,bear,5
268,look,5
269,heat,5
270,name,5
271,dost,5
272,weary,5
273,time,5
274,soon,5
275,around,5
276,make,5
277,call,5
278,lambs,5
279,evening,5
280,laughing,5
281,pleasant,5
282,enter,4
283,food,4
284,har,4
285,valley,4
286,mortal,4
287,sat,4
288,knew,4
289,helpless,4
290,one,4
291,find,4
292,youthful,4
293,humble,4
294,modest,4
295,went,4
296,dare,4
297,fire,4
298,maiden,4
299,drink,4
300,armed,4
301,weak,4
302,tired,4
303,parents,4
304,ways,4
305,clay,4
306,eternal,4
307,selfish,4
308,grief,4
309,dream,4
310,days,4
311,home,4
312,girl,4
313,bird,4
314,think,4
315,beside,4
316,wrath,4
317,new,4
318,poor,4
319,snow,4
320,two,4
321,dress,4
322,return,4
323,own,4
324,maker,4
325,once,4
326,lovely,4
327,ha,4
328,ever,4
329,dew,4
330,speak,4
331,rise,4
332,bosom,4
333,blossom,4
334,thus,4
335,men,4
336,gives,4
337,rising,4
338,ll,4
339,feed,4
340,nest,4
341,under,4
342,welcome,4
343,skies,4
344,innocent,4
345,hears,4
346,tongue,4
347,sheep,4
348,vanish,4
349,pipe,4
350,valleys,4
351,blake,4
352,none,3
353,worms,3
354,shining,3
355,st,3
356,springs,3
357,lowly,3
358,answerd,3
359,didst,3
360,take,3
361,terror,3
362,foe,3
363,mystery,3
364,spreads,3
365,cruelty,3
366,loves,3
367,blown,3
368,sunflower,3
369,burning,3
370,wings,3
371,done,3
372,wandered,3
373,seven,3
374,grave,3
375,thorns,3
376,only,3
377,meet,3
378,clod,3
379,bound,3
380,chain,3
381,blossoms,3
382,jealousy,3
383,given,3
384,shore,3
385,wilt,3
386,dewy,3
387,fallen,3
388,starry,3
389,ancient,3
390,destroy,3
391,give,3
392,infants,3
393,feel,3
394,worn,3
395,fades,3
396,well,3
397,voices,3
398,sky,3
399,mane,3
400,immortal,3
401,most,3
402,prey,3
403,tigers,3
404,any,3
405,keep,3
406,covered,3
407,door,3
408,cherish,3
409,hands,3
410,flow,3
411,high,3
412,grey,3
413,walking,3
414,thursday,3
415,too,3
416,dwell,3
417,must,3
418,clime,3
419,dear,3
420,pray,3
421,moan,3
422,moans,3
423,hover,3
424,crown,3
425,dreams,3
426,sought,3
427,dale,3
428,lonely,3
429,found,3
430,walk,3
431,warm,3
432,work,3
433,wind,3
434,clouds,3
435,river,3
436,back,3
437,very,3
438,sweeper,3
439,chimney,3
440,silver,3
441,tent,3
442,saying,3
443,will,3
444,grove,3
445,beams,3
446,began,3
447,kissed,3
448,underneath,3
449,bless,3
450,rejoice,3
451,gave,3
452,rest,3
453,ones,3
454,joys,3
455,echoing,3
456,follow,3
457,shepherd,3
458,water,3
459,hollow,3
460,again,3
461,piping,3
462,experience,3
463,innocence,3
464,ear,2
465,listning,2
466,therefore,2
467,ponder,2
468,oil,2
469,leaf,2
470,lillys,2
471,lives,2
472,great,2
473,use,2
474,warbling,2
475,nothing,2
476,pass,2
477,charge,2
478,bowd,2
479,thro,2
480,answered,2
481,throne,2
482,honey,2
483,milky,2
484,complain,2
485,breathing,2
486,watry,2
487,ask,2
488,pit,2
489,dead,2
490,roots,2
491,part,2
492,sexes,2
493,appear,2
494,fruits,2
495,hour,2
496,dismay,2
497,spend,2
498,kisses,2
499,sunny,2
500,age,2
501,place,2
502,burned,2
503,iron,2
504,stripped,2
505,reason,2
506,angry,2
507,poison,2
508,bands,2
509,fiend,2
510,dismal,2
511,foot,2
512,blasts,2
513,forged,2
514,weakness,2
515,marks,2
516,chartered,2
517,wish,2
518,shalt,2
519,gates,2
520,used,2
521,chapel,2
522,horn,2
523,threat,2
524,thorn,2
525,forth,2
526,graves,2
527,desire,2
528,turned,2
529,watered,2
530,brain,2
531,furnace,2
532,aspire,2
533,distant,2
534,symmetry,2
535,fearful,2
536,frame,2
537,spears,2
538,thousand,2
539,hid,2
540,beguiled,2
541,breath,2
542,wing,2
543,some,2
544,secret,2
545,sick,2
546,priest,2
547,dance,2
548,clothed,2
549,heath,2
550,notes,2
551,palace,2
552,shriek,2
553,shadows,2
554,arm,2
555,stood,2
556,asleep,2
557,viewed,2
558,close,2
559,frowning,2
560,summers,2
561,fall,2
562,poverty,2
563,fed,2
564,misery,2
565,babes,2
566,bind,2
567,self,2
568,hell,2
569,builds,2
570,ease,2
571,please,2
572,seeketh,2
573,pebble,2
574,bones,2
575,heavy,2
576,grow,2
577,buds,2
578,cruel,2
579,despair,2
580,darkness,2
581,answer,2
582,break,2
583,watery,2
584,turn,2
585,renew,2
586,pole,2
587,might,2
588,ears,2
589,future,2
590,bard,2
591,canst,2
592,becomes,2
593,wiping,2
594,sorrows,2
595,beetle,2
596,set,2
597,way,2
